zip,latitude,longitude,irs_estimated_population_2015
32099,30.33,-81.65,0
32202,30.33,-81.65,2770
32204,30.32,-81.68,5700
32205,30.3,-81.72,23730
32206,30.35,-81.64,13360
32207,30.29,-81.64,30130
32208,30.39,-81.68,25710
32209,30.36,-81.7,26810
32210,30.27,-81.75,55810
32211,30.33,-81.58,27490
32212,30.22,-81.67,1570
32216,30.28,-81.58,34660
32217,30.24,-81.63,18030
32218,30.49,-81.67,54030
32219,30.42,-81.81,10790
32220,30.37,-81.87,11140
32221,30.26,-81.85,26150
32222,30.22,-81.83,10260
32223,30.16,-81.65,23930
32224,30.27,-81.47,34110
32225,30.36,-81.51,52610
32226,30.48,-81.51,17480
32227,30.39,-81.4,1980
32234,30.23,-81.98,6500
32244,30.22,-81.75,54880
32246,30.29,-81.52,46370
32250,30.29,-81.39,26090
32254,30.34,-81.73,11340
32256,30.18,-81.47,41040
32257,30.19,-81.61,36050
32258,30.14,-81.55,30030
32267,30.38,-81.41,0
32277,30.38,-81.59,28030
